Occupation,Age,Dependents,Income,Additional_Income,Credit_Score,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings
Unemployed,20,0,7924.81,285.8,732.0,2889.57,4538.6,1000.0,2000.0,1372.24,500.0,627.59,1500.0,1000.0,1485.92,500.0,5000.0
Salaried Employee,66,5,90211.19,5560.67,720.0,14779.57,9090.13,3844.87,6209.44,6668.37,3802.66,2676.26,4514.4,3713.69,2758.42,1601.74,19109.65
Freelancer,24,0,50876.21,2808.82,559.0,11135.76,4125.95,2912.83,4237.26,2998.62,1521.42,1089.89,1881.23,1786.55,3256.64,1166.18,7909.14
Unemployed,39,2,5872.86,230.35,716.0,2000.0,4823.78,1000.0,2000.0,1307.26,500.0,500.0,1500.0,1000.0,154.25,500.0,5000.0
Freelancer,30,1,84230.64,2512.51,645.0,18491.69,6444.61,5147.59,6319.2,4779.99,3682.02,1788.34,3180.77,2101.03,2376.75,1564.54,13735.0
Freelancer,61,3,72266.4,776.68,656.0,12527.98,7256.8,4390.26,5410.07,5057.66,3632.98,1912.85,3213.23,3175.84,2774.1,2012.58,12501.59
BusinessOwner,21,0,109590.36,6245.88,656.0,23303.61,11228.47,5509.99,8659.96,6741.41,3870.44,3839.06,5487.87,4901.7,3040.06,2070.13,19973.66
Unemployed,22,0,16198.05,302.97,638.0,5451.28,3637.53,1000.0,2000.0,1328.43,1442.64,574.86,1500.0,1042.75,545.68,500.0,5000.0
Unemployed,42,1,16790.54,871.54,745.0,5080.98,2218.66,1000.0,2000.0,1346.24,813.58,500.0,1500.0,1502.6,1490.32,687.01,5000.0
BusinessOwner,31,0,80001.59,3578.55,643.0,16502.95,7252.21,3450.29,5962.22,3516.33,3196.53,2802.48,3521.12,3361.29,2413.5,1284.72,15956.29
Salaried Employee,39,1,80700.66,5131.18,560.0,15677.53,6643.29,3719.77,6722.44,3942.74,3029.25,2004.78,3539.71,3610.97,1234.51,1406.13,13032.24
Freelancer,24,0,56058.84,2464.3,619.0,10058.93,5093.15,3070.99,4081.94,3445.56,1550.09,1729.44,2659.58,2367.23,1938.89,1294.15,12735.24
Retired,56,3,28690.69,1245.49,664.0,8680.21,1358.68,2149.71,2187.7,1000.0,1641.49,770.91,2410.5,1697.67,373.32,855.34,6716.0
Freelancer,57,4,82379.04,5324.77,748.0,15076.82,8309.64,4067.83,7361.46,5607.71,2907.36,2860.94,4157.92,2033.38,3077.06,2013.72,26280.51
Freelancer,49,3,50354.14,2855.14,698.0,7996.7,4189.12,2533.83,4525.51,3718.49,1624.26,722.01,3109.16,1299.3,1997.96,782.92,12904.96
Salaried Employee,28,1,80239.26,4519.33,582.0,17378.59,5782.87,4155.27,6870.28,5076.09,3705.53,1982.08,4265.45,4479.09,3437.16,1783.59,17023.17
Freelancer,53,3,65227.81,3873.58,849.0,11453.29,8405.5,2745.49,4968.29,3016.76,1667.62,1137.71,3818.32,1000.0,2592.11,1164.72,11022.64
BusinessOwner,63,4,126388.56,2437.85,671.0,23377.58,11892.35,5394.04,10382.6,8687.42,4293.74,3661.86,4919.45,4943.4,4554.83,2346.07,27134.03
BusinessOwner,54,3,120381.92,7841.17,752.0,21189.18,10135.99,4263.66,9513.61,8852.68,4806.21,4217.17,5866.87,5753.1,3143.09,2768.6,26042.2
Unemployed,41,2,9663.08,601.52,638.0,2000.0,713.92,1000.0,2000.0,1000.0,533.17,500.0,1500.0,1000.0,852.68,500.0,5000.0
Retired,63,3,46142.42,1368.88,693.0,9063.05,4716.8,2780.27,3896.24,3176.97,2088.06,1128.93,2021.25,1521.69,2762.19,1006.31,11036.65
Freelancer,43,1,59750.38,2695.84,717.0,12436.26,3355.34,2284.61,4481.53,3746.41,2239.12,2228.37,3868.76,2493.55,1310.46,1241.68,7773.23
Freelancer,36,2,77453.63,3811.79,747.0,17393.34,8242.83,3634.87,6942.79,5071.51,4363.33,2857.88,4614.63,2815.65,3583.43,1227.85,14544.24
Salaried Employee,29,1,55974.8,2648.17,735.0,12248.76,4026.74,3265.17,4397.92,3262.84,2125.05,1634.96,2564.17,2263.67,1294.7,1409.32,12750.66
BusinessOwner,49,2,110859.79,6283.22,720.0,21790.21,13652.52,6063.68,9177.96,6623.94,4319.0,3668.15,5291.41,3887.69,2729.41,2385.28,20577.88
Retired,65,5,61440.43,4830.9,625.0,11891.7,6929.98,1992.49,5643.03,4411.0,2059.12,1304.74,2565.22,3344.56,2050.55,632.92,11652.93
Unemployed,42,1,5598.14,401.02,604.0,2139.94,0.0,1276.97,2000.0,2212.39,500.0,856.93,1500.0,1362.54,669.08,500.0,5000.0
BusinessOwner,51,2,88398.21,2099.95,677.0,20224.78,7722.07,5547.26,6367.4,4183.84,3843.41,3726.3,3803.62,3429.22,3290.17,1536.07,13986.36
Unemployed,36,1,13323.71,831.95,725.0,2917.37,1174.92,1000.0,2000.0,1000.0,1134.74,660.32,1500.0,1000.0,0.0,595.6,5000.0
Salaried Employee,69,5,99796.19,7642.26,632.0,19020.98,10898.8,4165.97,8409.05,5043.4,3247.21,1951.72,4261.79,3572.77,3298.06,1562.3,14879.42
Salaried Employee,36,2,77916.68,4498.61,735.0,13597.6,7753.43,5086.92,6679.27,5948.62,2993.67,2058.39,4197.7,2969.48,1857.61,1451.39,16822.83
Freelancer,33,0,69357.94,4981.26,766.0,10981.18,6610.06,3321.04,4991.99,3691.29,2997.67,2387.15,3781.94,3178.75,1038.49,1495.77,15306.08
Salaried Employee,28,0,34376.22,3102.3,577.0,8207.78,3525.18,1000.0,2421.58,1000.0,1668.58,820.54,1500.0,1000.0,381.17,703.83,5244.74
Unemployed,59,3,20057.56,1413.54,583.0,5167.47,1099.97,1000.0,2101.88,1714.0,805.58,1237.83,1777.79,1000.0,76.1,630.04,5000.0
BusinessOwner,21,0,91223.37,5016.02,639.0,19399.4,8607.53,4311.8,6916.99,6868.85,3920.15,3030.78,4817.97,4057.48,3101.82,1368.94,14095.69
Salaried Employee,64,3,90567.15,6421.37,675.0,17856.11,5928.03,3365.31,7095.52,5964.91,3218.2,2363.78,4903.21,4373.81,3523.56,2306.92,24412.57
Freelancer,44,2,79901.01,4226.58,608.0,18794.07,9450.69,3581.63,7180.02,4957.9,3974.99,2413.16,3615.72,2698.77,1365.79,1755.56,11430.71
Freelancer,58,3,113277.73,5718.04,758.0,21687.31,11775.97,5696.28,9038.32,7123.98,5027.42,2951.42,5975.08,3464.54,3644.7,2673.47,18951.95
Unemployed,28,1,9150.09,393.2,684.0,3740.56,0.0,1919.76,2000.0,1680.88,500.0,500.0,1500.0,2993.3,0.0,500.0,5000.0
Salaried Employee,41,1,66882.72,5435.44,653.0,13299.06,9536.37,3053.68,4911.81,3313.6,2137.76,1729.19,3294.83,3301.95,2446.84,1334.17,8836.22
Retired,62,4,51290.77,1724.98,535.0,9041.45,5259.6,3637.08,4269.62,2987.97,1528.17,2126.1,3565.5,1838.03,1102.81,640.56,14338.89
Salaried Employee,65,5,92874.85,7490.11,545.0,19760.03,7733.27,6072.5,6763.41,5210.34,4053.98,3844.25,4665.78,4410.22,2050.32,1688.43,21095.48
Unemployed,23,0,0.0,0.0,672.0,2000.0,1285.11,1434.31,2000.0,1000.0,500.0,500.0,1500.0,1000.0,559.77,500.0,5000.0
Unemployed,45,3,16372.67,360.43,479.0,3988.48,2234.34,1103.39,2000.0,1000.0,500.0,500.0,1500.0,1348.63,80.33,743.08,5000.0
Salaried Employee,48,3,76283.13,4375.07,731.0,15419.18,8220.18,1850.87,6752.23,5463.16,3278.68,2165.91,4106.92,3178.84,2067.32,1339.78,18718.4
Unemployed,64,4,12793.43,102.34,637.0,2482.9,640.71,1100.5,2000.0,1220.89,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Salaried Employee,53,2,90183.36,5637.38,850.0,22813.42,9694.08,5557.57,6857.64,5926.45,3736.78,2728.61,4694.69,3516.47,3368.09,1739.86,21615.32
BusinessOwner,42,2,106133.99,7185.76,835.0,23595.31,10220.76,5225.63,9079.93,6485.22,3712.46,3558.49,4939.21,3087.45,3758.66,2036.37,16596.64
Salaried Employee,56,3,97139.09,3706.14,635.0,20873.47,10547.82,6601.54,7621.37,6247.0,4182.99,3661.24,4433.76,5436.04,2917.99,1867.85,16297.47
Salaried Employee,30,1,65645.14,3444.46,641.0,13352.63,3707.1,4142.09,4633.76,3298.24,2319.2,2070.05,4154.31,1872.58,900.05,1471.46,15617.9
Unemployed,25,1,11937.25,1063.41,730.0,4401.76,542.92,1165.14,2000.0,1000.0,500.0,500.0,1500.0,1000.0,1204.68,501.61,5000.0
Unemployed,37,1,9311.43,371.39,786.0,2898.27,3514.38,1551.95,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Freelancer,40,2,78190.37,2253.59,519.0,15690.48,6668.44,4242.89,6337.85,4913.44,3179.15,2358.8,3729.95,2358.44,2028.36,1697.52,11534.35
Freelancer,61,3,90691.97,7222.1,507.0,17531.27,8163.44,2041.79,7261.62,5697.67,3639.67,2756.4,3884.37,3586.31,4339.19,1273.61,16112.67
BusinessOwner,55,3,83267.54,7431.77,600.0,16491.67,7654.81,3664.24,7480.01,4885.38,2955.39,2817.5,4880.32,3880.91,2005.48,1562.99,17306.74
Freelancer,60,3,99176.65,4966.16,697.0,13494.48,8095.46,6156.0,7218.45,5648.66,3817.29,2621.06,4610.99,4763.31,3494.85,2674.76,15623.89
Salaried Employee,57,3,82093.26,5765.35,690.0,16839.85,4896.91,3297.07,5924.66,7451.81,3284.82,2245.27,4369.31,3935.52,2856.26,1754.13,22045.99
Unemployed,53,3,17269.56,1326.81,736.0,2476.96,1381.08,1000.0,2000.0,1761.6,500.0,500.0,1541.53,1000.0,791.21,500.0,5000.0
Freelancer,36,2,69439.87,2440.83,554.0,17073.31,7147.78,2427.16,5741.51,4496.91,2546.33,937.55,3221.92,2817.27,2280.6,1496.64,11184.2
Freelancer,56,3,110341.67,4446.09,465.0,22107.02,10955.41,7301.01,8910.58,6433.93,4607.51,2756.0,5783.09,4739.97,3573.72,2331.45,19257.01
BusinessOwner,44,2,96231.22,7180.53,719.0,16868.32,9405.8,6493.05,8469.87,5412.9,3210.53,2101.77,4296.52,2443.02,3077.29,1209.69,5562.44
BusinessOwner,57,4,103209.19,8638.64,584.0,20542.08,10385.48,4276.59,8378.47,6087.91,4706.66,3264.63,6383.34,4584.84,3059.93,1992.33,13436.65
Salaried Employee,31,0,70503.86,4318.9,489.0,12008.53,8584.65,3672.49,5438.23,4464.49,3454.96,1856.05,3993.38,1654.32,3173.01,1398.71,16305.04
Unemployed,42,2,9502.19,307.91,662.0,2847.25,664.55,1000.0,2000.0,1000.0,500.0,500.0,1500.0,2012.37,0.0,574.49,5000.0
BusinessOwner,61,3,144098.1,12931.54,713.0,25000.0,13548.69,7819.85,11586.7,7390.37,6442.73,3830.74,6818.49,5440.31,5037.96,2896.26,40153.91
Freelancer,41,1,39688.43,1562.95,640.0,9853.36,3547.15,2494.1,2339.19,1871.8,1515.75,500.0,1927.42,1439.64,1766.29,500.0,11004.07
Unemployed,40,2,5204.75,225.35,613.0,2000.0,1389.49,1071.94,2000.0,1000.0,500.0,910.3,1500.0,1000.0,645.02,500.0,5000.0
Unemployed,46,3,5406.74,307.36,637.0,2000.0,2658.71,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,944.09,500.0,5000.0
Freelancer,50,3,89105.54,7224.96,620.0,15091.06,7968.34,7390.68,7233.45,6528.83,4025.74,2466.96,3842.51,5383.5,2608.35,1417.08,18114.85
BusinessOwner,25,0,126127.07,8460.54,542.0,25000.0,12761.11,5278.43,10397.75,6381.71,5248.13,3056.37,6373.75,5797.38,2475.53,2272.29,8481.53
Freelancer,46,2,67782.58,3951.54,593.0,14594.26,7285.79,1678.53,5777.31,3465.88,2304.23,2519.44,3379.96,1471.94,1982.87,1518.4,8830.17
Unemployed,59,4,11811.1,699.99,692.0,3353.83,0.0,1000.0,2000.0,1924.74,500.0,500.0,1500.0,1675.81,0.0,613.85,5000.0
Retired,53,3,37589.31,1912.18,676.0,7521.1,3789.56,1000.0,2691.52,2360.25,773.42,714.5,1825.16,2458.17,615.38,896.67,8675.66
Freelancer,31,1,39687.98,2427.43,663.0,8767.14,1770.29,1000.0,3474.76,3089.15,1681.49,994.52,1926.36,1362.55,320.95,983.37,8512.42
Salaried Employee,64,4,81373.47,48.11,570.0,19483.37,5483.77,3067.36,6702.73,6523.41,3541.17,3280.29,4505.21,3500.3,2107.06,1769.38,12643.55
Freelancer,26,0,61032.51,2689.57,635.0,11636.31,6653.37,2129.44,4477.66,3106.91,2766.78,1794.49,3356.12,2429.35,1413.34,1251.05,15067.12
Freelancer,29,1,73881.68,4050.67,476.0,15053.63,6812.36,2739.47,6620.05,4353.45,2896.28,2125.58,3903.54,4533.33,552.15,1686.71,20252.61
Salaried Employee,64,3,100514.66,2711.86,664.0,17930.68,10354.89,5543.95,8187.85,5812.94,3442.09,2544.75,3508.74,3383.55,3505.6,1284.66,24817.02
Salaried Employee,36,1,76209.57,4399.31,764.0,13505.39,7594.11,3304.29,6461.67,3008.9,2707.35,1339.0,3960.38,3165.19,3840.51,1557.52,19012.76
Salaried Employee,45,3,92012.03,4224.33,532.0,18598.03,7736.6,4421.09,8056.92,5272.4,4256.66,2680.34,3772.78,3337.96,3184.73,1526.76,15829.63
Unemployed,40,2,0.0,0.0,603.0,2207.87,0.0,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Freelancer,47,3,82096.71,6687.63,676.0,15906.78,6360.02,3338.51,6726.21,5358.27,3355.58,3012.69,4842.08,5037.18,2424.58,1597.79,17017.66
Unemployed,65,4,9084.99,369.61,750.0,2000.0,2994.96,1000.0,2000.0,1040.37,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Salaried Employee,21,0,47041.24,2210.15,614.0,8594.48,2670.17,2717.82,3400.87,2522.07,2049.94,848.69,2221.17,2057.75,1474.27,500.0,10267.77
Freelancer,62,4,89321.81,4333.99,595.0,16794.85,8638.5,2524.52,7172.77,4834.43,3344.03,2389.28,4166.41,2180.31,2653.75,2091.49,17321.79
Unemployed,20,0,15181.46,621.94,492.0,3626.24,0.0,1000.0,2000.0,1926.29,1130.61,500.0,1500.0,1000.0,0.0,500.0,5000.0
Unemployed,55,4,11640.95,627.45,658.0,2000.0,2019.73,1000.0,2000.0,1000.0,852.42,500.0,1500.0,1000.0,1527.25,500.0,5000.0
Salaried Employee,45,2,91458.06,3185.88,813.0,20853.49,8648.66,5064.92,8475.46,5722.75,3410.47,2682.9,5437.07,2998.54,1702.73,1585.25,22803.98
Freelancer,48,3,99337.33,2720.62,672.0,18536.62,9155.73,7031.09,7243.34,6090.91,3910.16,3184.17,5173.74,4442.93,3482.95,1754.65,17674.71
Salaried Employee,40,1,91464.06,5712.32,648.0,19736.62,10426.21,4731.3,6668.07,6657.22,3383.0,2292.28,4694.43,3443.33,2673.08,1896.36,22378.27
Freelancer,30,1,84599.47,5295.13,676.0,14379.9,8504.09,5049.71,7425.07,5853.1,2674.26,3005.05,4264.08,4312.04,3868.57,1483.64,20037.68
Retired,59,4,46358.76,1572.2,649.0,10609.43,5410.84,2122.47,4065.33,1745.32,1425.63,1607.49,2726.93,2943.76,1629.37,1057.64,8578.83
BusinessOwner,30,0,91885.84,6239.7,585.0,19721.06,7716.6,4891.52,6837.88,4563.11,3774.54,2596.66,3725.45,3206.04,2504.64,1189.44,24757.72
BusinessOwner,55,3,62438.57,2333.23,716.0,13256.12,4136.63,4789.19,5298.73,4209.44,2660.17,2673.61,3164.6,2558.93,1699.76,1102.51,11377.72
BusinessOwner,68,5,115710.84,6371.42,668.0,21153.31,11731.9,3661.55,9990.79,6891.18,4702.71,4249.53,5750.52,4775.2,3499.26,2853.24,31875.72
Salaried Employee,58,3,78806.44,5233.29,651.0,16260.39,7402.37,4353.94,6289.38,4364.25,3001.39,2830.64,4303.03,3647.74,1564.24,1707.97,17471.89
Retired,59,3,61104.13,3014.13,572.0,9854.71,7050.06,5190.79,6187.74,4478.75,2910.7,500.0,2961.36,2455.67,1296.32,1272.12,12172.35
Freelancer,54,2,71128.52,4203.33,754.0,13720.18,6992.99,3838.46,4828.25,4417.68,2876.91,2923.33,3037.06,2997.31,884.39,2018.14,11068.3
Unemployed,53,2,13057.71,518.02,703.0,4670.37,1613.38,2303.46,2000.0,1000.0,873.94,789.11,1500.0,1000.0,0.0,500.0,5000.0
Freelancer,66,5,92850.3,4277.68,606.0,20163.46,6849.96,4013.3,8011.29,6194.88,2827.12,3788.71,4101.09,3806.2,2851.24,1612.41,17624.1
Unemployed,43,2,11546.35,529.78,730.0,2339.64,3987.29,1000.0,2000.0,1000.0,500.0,965.12,1500.0,1500.21,556.51,500.0,5000.0
Freelancer,41,1,94822.6,3325.28,610.0,17014.91,9235.9,4774.65,7483.63,6944.17,3934.8,3633.85,5104.69,4309.77,1459.15,2153.96,17932.78
Unemployed,24,0,23517.68,1092.74,587.0,5994.71,3398.15,1000.0,2000.0,1000.0,500.0,1144.86,1500.0,1501.71,609.48,733.05,5000.0
Unemployed,52,2,13387.11,254.72,589.0,2716.18,84.57,1000.0,2000.0,1328.77,500.0,1075.96,1500.0,1113.94,796.0,500.0,5000.0
Salaried Employee,55,3,78219.12,3142.6,508.0,11003.19,8283.93,2814.08,6665.41,5840.21,2977.72,3343.64,4562.42,3005.72,2232.53,1863.77,20752.63
Freelancer,66,5,54671.54,2422.09,688.0,12499.57,3512.89,3555.64,4674.96,2178.46,2980.56,1748.42,2401.06,2441.92,1196.49,972.44,7580.44
Freelancer,39,2,55397.58,2486.04,504.0,11031.05,6217.86,3642.03,4951.83,3049.19,2415.9,875.81,2054.32,1347.76,1373.41,1471.44,15822.4
Unemployed,38,1,10600.0,478.8,552.0,4524.9,526.04,1000.0,2000.0,1549.77,506.93,500.0,1500.0,1439.05,0.0,500.0,5000.0
Salaried Employee,54,2,81476.65,3973.19,484.0,14104.79,8191.45,4897.94,6404.25,5814.39,3677.56,2639.27,3900.08,1032.7,1998.59,1592.54,12323.26
Salaried Employee,62,3,83260.04,4961.37,643.0,10298.6,9372.97,3998.85,6190.8,4858.41,3514.65,2535.25,3741.85,3260.68,2619.48,1518.15,19806.54
Retired,36,2,19874.43,1341.33,638.0,4533.05,138.63,2195.65,2000.0,1000.0,566.14,500.0,1500.0,1707.69,2211.61,714.3,5000.0
Salaried Employee,64,3,92686.39,3429.83,624.0,19120.4,8241.9,4643.11,7922.52,6325.93,4243.19,1965.06,4328.52,2616.36,2260.0,1696.89,18158.48
Salaried Employee,62,4,72537.69,1881.34,567.0,11126.19,7939.76,3684.75,5857.01,5299.1,2346.63,1805.55,2708.88,3221.33,1953.43,1438.02,13041.27
Salaried Employee,53,2,95448.69,2783.2,556.0,17132.74,12692.2,4506.84,8939.32,4795.19,3979.57,3267.33,4551.85,3273.33,2827.27,2061.02,15191.91
BusinessOwner,28,1,90219.77,3631.88,687.0,23554.39,8814.85,5195.44,7314.29,4450.06,2835.01,3496.76,3942.8,3313.75,2225.45,1967.97,21309.9
Retired,45,2,21090.53,906.08,606.0,3606.88,2995.76,1000.0,2000.0,1445.64,945.59,1091.0,1500.0,1600.37,1401.48,687.9,5000.0
Freelancer,21,0,50379.3,1743.13,675.0,11537.78,4877.47,3495.4,4083.44,3526.25,2111.67,2040.09,2190.95,2173.62,0.0,1070.92,6456.98
Unemployed,28,0,6114.43,147.22,579.0,2000.0,3524.81,1000.0,2000.0,1000.0,1082.8,500.0,1500.0,1000.0,0.0,500.0,5000.0
Freelancer,28,0,63491.87,2595.39,664.0,8517.77,3728.35,2075.68,5050.43,4352.95,1757.19,1033.71,3976.53,1758.53,2477.58,1164.93,8871.14
Retired,59,3,52533.45,2817.29,754.0,10166.17,5395.28,3314.1,4766.57,2583.9,1800.89,1348.39,2966.36,2881.61,1370.14,1058.37,7477.45
Unemployed,36,2,661.59,40.95,697.0,2000.0,0.0,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,0.0,500.0,5000.0
Unemployed,20,0,27828.19,1081.17,617.0,4765.88,0.0,1000.0,2000.0,1330.57,1280.79,586.32,2144.01,2511.64,1143.38,512.41,5000.0
Salaried Employee,44,2,77974.49,3254.66,671.0,15365.62,8243.64,4788.78,5775.42,4729.05,3209.13,2366.58,4686.58,4465.1,2973.67,1565.25,6563.72
Unemployed,62,4,17630.84,554.77,631.0,4054.71,1972.33,1000.0,2000.0,1000.0,500.0,749.64,1500.0,1000.0,676.37,500.0,5000.0
Salaried Employee,59,3,93050.24,4594.0,651.0,18309.81,8877.77,4452.31,7480.95,4656.13,3426.6,3218.01,5313.97,5724.6,2230.65,2061.21,17196.32
Freelancer,61,3,63823.8,2108.19,624.0,10236.75,6223.09,4590.42,5702.7,2376.91,3175.47,1775.65,2915.35,2572.54,2234.06,1330.81,12070.18
Freelancer,44,1,62944.18,3868.71,637.0,13561.21,10941.87,4686.35,4365.29,3365.38,2492.01,936.45,2214.09,1747.63,1606.89,1559.44,11599.04
Unemployed,58,4,7705.43,110.05,667.0,2000.0,383.28,1957.67,2000.0,1180.45,500.0,500.0,1500.0,1000.0,752.79,500.0,5000.0
Unemployed,54,2,19071.24,816.39,571.0,2000.0,2672.31,1000.0,2000.0,2149.23,705.26,593.99,1818.21,1000.0,1610.42,500.0,5000.0
Unemployed,22,0,27756.85,1555.0,569.0,7029.73,1801.64,2618.55,2000.0,2615.58,518.73,1444.11,1500.0,2395.89,0.0,500.0,7599.99
Retired,69,5,62841.24,3373.11,539.0,13582.29,6726.97,2193.11,4610.5,3117.75,2980.55,1601.33,3141.82,3789.46,1962.98,1196.85,7929.84
Salaried Employee,56,3,87435.67,9081.13,522.0,17372.34,8386.22,3464.88,6654.91,4323.18,3749.04,2879.34,4388.86,2685.02,1408.06,1971.58,19432.03
Unemployed,63,3,8589.1,489.54,553.0,2000.0,243.13,1000.0,2000.0,1000.0,1496.38,500.0,1500.0,1000.0,1966.92,500.0,5000.0
Freelancer,63,3,49601.4,1484.02,663.0,8504.46,7688.49,4152.94,4064.06,3484.16,1476.27,1509.99,2258.31,2060.54,1160.35,1004.38,8036.29
Retired,49,2,18534.11,891.32,579.0,3181.33,3619.19,1000.0,2000.0,1432.18,1152.65,1021.29,1500.0,1000.0,1078.48,524.78,5000.0
Retired,57,3,22005.18,318.53,691.0,2000.0,2405.64,1000.0,2000.0,1000.0,500.0,500.0,1500.0,1000.0,635.43,500.0,5520.19
Freelancer,53,2,78728.49,3809.51,653.0,14267.64,4416.53,3026.1,6512.26,4030.2,3227.81,2074.26,3225.4,2980.85,1799.7,1596.96,11845.25
Salaried Employee,31,1,34410.5,1147.21,493.0,8186.76,2899.54,2415.69,3614.38,2040.88,1864.67,1026.36,1828.04,1119.56,386.88,500.1,5838.32
Salaried Employee,38,2,58523.14,3997.59,702.0,14559.24,9906.86,2550.52,5501.48,3901.16,1304.86,1435.62,3462.84,2030.2,2865.67,951.59,14301.03
Unemployed,56,4,18238.74,711.48,715.0,2808.88,1477.88,1000.0,2000.0,1708.17,627.08,801.17,1500.0,1000.0,1216.32,500.0,5000.0
Freelancer,63,3,70162.93,3344.29,570.0,15545.56,8671.12,3949.81,5901.57,4325.18,2524.91,1748.29,3103.28,3950.13,3465.4,1190.05,7727.94
Unemployed,68,5,14812.87,552.35,684.0,2000.0,3644.2,1000.0,2000.0,1153.4,500.0,557.54,1500.0,1000.0,483.2,501.34,5000.0
Retired,36,2,45471.63,3854.95,581.0,10413.23,4875.61,1436.18,3715.31,2796.19,2011.47,1314.06,2131.49,1955.22,1565.69,688.95,7889.3
Freelancer,29,1,36802.97,1603.69,658.0,5752.7,2417.56,1000.0,2745.1,2756.67,2032.46,1211.55,2624.04,2053.62,917.05,500.0,6619.46
Freelancer,68,5,77241.42,6693.06,549.0,16062.97,4071.17,2438.11,6238.11,4884.78,3023.02,2087.37,4184.87,3532.97,2116.28,2075.21,16436.14
Salaried Employee,66,5,83079.79,5506.78,507.0,16120.45,9334.22,4332.52,6722.09,5037.38,3425.93,2322.85,4505.97,2831.65,1763.07,1949.82,19212.52
BusinessOwner,31,0,36566.66,2180.88,619.0,9954.16,2434.53,1000.0,2635.86,1979.3,1519.82,1145.0,2273.26,1539.77,1155.81,500.0,10898.88
Freelancer,35,1,51673.34,2964.74,640.0,8585.8,5431.56,1102.52,3685.68,3165.43,2067.84,1651.24,2794.05,2504.97,997.73,804.04,6045.6
BusinessOwner,43,2,95735.57,5540.79,618.0,20402.33,7698.83,4784.41,7434.5,6131.81,3284.75,2869.97,4847.08,2926.74,3181.4,1987.45,23100.76
BusinessOwner,38,2,70546.15,807.51,555.0,13550.22,6656.76,2983.7,5760.82,4446.75,3376.07,2969.07,3858.46,3832.68,2235.39,1508.05,16730.05
Salaried Employee,27,1,66626.81,2959.72,618.0,13008.75,6713.26,5323.38,5629.64,4302.27,2812.67,1503.44,3058.26,3810.34,2200.18,885.39,12868.42
BusinessOwner,50,2,110305.56,7379.79,672.0,21693.4,11433.45,7349.17,9251.12,7692.51,4609.66,3277.06,4808.05,3834.0,4481.76,2553.68,26403.14
BusinessOwner,40,1,92816.46,4550.05,646.0,16871.95,7609.41,3772.9,7178.22,5781.12,3309.4,1997.68,5002.32,3867.59,2758.09,2103.9,22899.09
Salaried Employee,36,2,67309.97,1473.83,665.0,13433.8,8526.36,3922.64,5526.72,3519.4,2462.79,2205.34,3984.37,3206.22,2549.01,1490.77,8811.0
BusinessOwner,42,1,105522.33,5165.52,596.0,20979.17,9656.89,6025.4,8923.04,7038.23,4132.83,2608.05,4717.0,3784.4,4601.73,2517.47,30336.44
BusinessOwner,56,3,127321.13,10705.43,744.0,25000.0,10220.41,5768.58,10768.49,6546.31,4325.78,3680.48,6777.02,5478.14,4734.27,2682.11,15541.06
BusinessOwner,35,2,65877.02,4936.68,556.0,13344.42,6424.17,1798.31,5240.75,3087.49,1791.06,1790.28,4134.23,2765.69,2783.53,1452.11,9435.84
Freelancer,25,0,77105.79,3759.67,689.0,17017.15,7762.14,3842.99,6058.0,4895.02,2783.86,2453.62,3854.17,1909.9,2098.49,2009.42,14411.89
Freelancer,27,0,56765.54,3918.47,745.0,13200.13,5917.44,2665.43,4636.81,3819.05,2531.88,1426.57,2429.28,2637.95,1863.72,1465.68,16816.62
Freelancer,44,2,68722.33,2932.37,688.0,11643.22,8915.43,3000.35,4922.93,3127.3,2422.32,1764.02,3497.63,1868.78,1138.88,1121.99,12685.26
Salaried Employee,37,1,82477.89,1313.26,634.0,18233.12,7893.12,4566.21,6501.43,4642.42,2789.71,3192.27,3848.63,4050.48,2823.58,1839.52,16363.89
Retired,44,1,36326.93,1144.69,608.0,4892.71,3453.26,1065.62,3278.45,1694.75,1045.73,1232.09,1507.98,1000.0,1281.93,527.26,9866.54
BusinessOwner,31,1,114966.7,9341.94,733.0,24169.05,9841.89,4596.34,9518.31,6508.66,4371.0,3168.48,5964.93,4469.64,3465.37,2450.58,21267.01
BusinessOwner,34,0,101065.23,4499.44,536.0,21452.52,11337.35,5162.34,7950.08,6818.79,3865.68,2906.54,4251.4,5140.43,3750.99,2164.29,14258.1
Salaried Employee,45,2,73456.97,3315.28,572.0,10868.76,7622.16,4058.82,5985.42,4972.62,4021.04,3026.39,2950.88,3335.38,1358.27,1054.1,13158.95
BusinessOwner,60,4,128748.86,5665.37,618.0,25000.0,12244.84,5260.8,9887.58,7709.63,5677.26,3744.88,6447.09,4286.38,5006.87,2538.42,34574.17
Freelancer,64,4,57411.1,5056.93,749.0,10545.23,2884.1,3798.65,4944.63,3007.9,2808.83,1377.69,2859.4,1484.51,2353.57,1227.8,11685.64
